name,size
decimal673.csv,24241
decimal2633.csv,37249
decimal103.csv,9740
decimal2143.csv,9101
decimal2625.csv,16005
decimal665.csv,21130
decimal2631.csv,3233
decimal671.csv,12302
decimal1338.csv,174555
decimal3249.csv,16684
decimal117.csv,5955
decimal2157.csv,26511
decimal1476.csv,1599
decimal3261.csv,6889
decimal2619.csv,4653
decimal659.csv,4463
decimal881.csv,19627
decimal3507.csv,4564
decimal1310.csv,80482
decimal1304.csv,9948
decimal895.csv,231829
decimal3513.csv,22950
decimal3275.csv,7004
decimal1462.csv,50261
decimal1489.csv,6097
decimal2180.csv,71080
decimal2194.csv,10244
decimal2802.csv,7666
decimal842.csv,31954
decimal2816.csv,18427
decimal856.csv,15977
decimal467.csv,139490
decimal2427.csv,86844
decimal1890.csv,19822
decimal1648.csv,3720
decimal2341.csv,3848
decimal301.csv,6956
decimal2355.csv,89147
decimal315.csv,40575
decimal1884.csv,544
decimal473.csv,16148
decimal2433.csv,137749
decimal1112.csv,8302
decimal3063.csv,9015
decimal92.csv,29278
decimal1674.csv,693
decimal86.csv,2653
decimal1660.csv,9520
decimal2369.csv,16635
decimal329.csv,17332
decimal3077.csv,5912
decimal1106.csv,14600
decimal2382.csv,99639
decimal1853.csv,19243
decimal1847.csv,22719
decimal79.csv,13714
decimal3088.csv,1269
decimal2396.csv,13559
decimal498.csv,4171
decimal51.csv,3051
decimal45.csv,87210
decimal2553.csv,15563
decimal513.csv,19022
decimal275.csv,69783
decimal2235.csv,485
decimal261.csv,30375
decimal2221.csv,544
decimal1728.csv,3173
decimal2547.csv,5217
decimal507.csv,67496
decimal1066.csv,7306
decimal3117.csv,6598
decimal249.csv,5722
decimal2209.csv,24594
decimal1700.csv,5985
decimal1714.csv,21687
decimal3103.csv,178333
decimal1072.csv,7558
decimal1099.csv,75074
decimal2590.csv,184424
decimal1927.csv,7868
decimal1933.csv,34165
decimal2584.csv,5430
decimal2037.csv,451
decimal3329.csv,8520
decimal1258.csv,49043
decimal2989.csv,19797
decimal711.csv,7989
decimal2751.csv,136785
decimal705.csv,5296
decimal2745.csv,112399
decimal2023.csv,3158
decimal1502.csv,2553
decimal3315.csv,49884
decimal3473.csv,2518
decimal1264.csv,2401
decimal1270.csv,143492
decimal3467.csv,7361
decimal739.csv,33824
decimal2779.csv,5919
decimal3301.csv,28716
decimal1516.csv,71910
decimal2792.csv,9455
decimal2786.csv,5306
decimal3498.csv,10120
decimal936.csv,5672
decimal2976.csv,5505
decimal922.csv,2135
decimal2962.csv,40837
decimal2963.csv,6612
decimal923.csv,6145
decimal2977.csv,5455
decimal937.csv,174056
decimal3499.csv,33856
decimal2787.csv,155716
decimal2793.csv,7171
decimal2778.csv,6236
decimal738.csv,1176
decimal3466.csv,37201
decimal1271.csv,13350
decimal1517.csv,98275
decimal3300.csv,19039
decimal3314.csv,15689
decimal1503.csv,9975
decimal1265.csv,173368
decimal3472.csv,67704
decimal2744.csv,28515
decimal704.csv,4252
decimal2022.csv,10172
decimal3328.csv,84860
decimal2036.csv,17481
decimal2750.csv,23061
decimal710.csv,7573
decimal2988.csv,12746
decimal1259.csv,19710
decimal1932.csv,12313
decimal2585.csv,39515
decimal2591.csv,51648
decimal1098.csv,4267
decimal1926.csv,11677
decimal3102.csv,4909
decimal1715.csv,3796
decimal1073.csv,19261
decimal1067.csv,7713
decimal1701.csv,19285
decimal2208.csv,9599
decimal248.csv,4429
decimal3116.csv,37752
decimal1729.csv,426
decimal2220.csv,12357
decimal260.csv,8147
decimal506.csv,19917
decimal2546.csv,26950
decimal512.csv,7908
decimal2552.csv,11641
decimal2234.csv,2525
decimal274.csv,18015
decimal44.csv,9023
decimal499.csv,28514
decimal50.csv,86149
decimal2397.csv,4073
decimal3089.csv,955
decimal78.csv,4303
decimal1846.csv,13485
decimal1852.csv,4680
decimal2383.csv,181550
decimal3076.csv,81453
decimal328.csv,5594
decimal2368.csv,16569
decimal1661.csv,4099
decimal87.csv,10147
decimal1107.csv,5896
decimal1113.csv,2870
decimal1675.csv,127920
decimal93.csv,1847
decimal3062.csv,134662
decimal1885.csv,10005
decimal314.csv,19364
decimal2354.csv,100768
decimal2432.csv,78997
decimal472.csv,25772
decimal2426.csv,641
decimal466.csv,106304
decimal300.csv,15010
decimal2340.csv,4895
decimal1649.csv,26700
decimal1891.csv,14234
decimal857.csv,13188
decimal2817.csv,68745
decimal843.csv,75395
decimal2803.csv,31737
decimal2195.csv,4003
decimal2181.csv,10734
decimal1488.csv,173704
decimal3512.csv,64366
decimal894.csv,90792
decimal1305.csv,4212
decimal1463.csv,10434
decimal3274.csv,26857
decimal3260.csv,26776
decimal1477.csv,9121
decimal1311.csv,7363
decimal3506.csv,10669
decimal880.csv,11490
decimal658.csv,8195
decimal2618.csv,11628
decimal1339.csv,662
decimal670.csv,26754
decimal2630.csv,4389
decimal2156.csv,20263
decimal116.csv,6199
decimal3248.csv,9070
decimal2142.csv,5127
decimal102.csv,10229
decimal664.csv,47999
decimal2624.csv,9101
decimal3207.csv,813
decimal2119.csv,44326
decimal159.csv,57175
decimal1410.csv,9443
decimal1376.csv,5723
decimal3561.csv,3785
decimal3575.csv,5374
decimal1362.csv,29631
decimal1404.csv,82694
decimal3213.csv,13156
decimal2125.csv,6544
decimal165.csv,12993
decimal603.csv,49182
decimal2643.csv,5904
decimal617.csv,14437
decimal2657.csv,4179
decimal3549.csv,124418
decimal2131.csv,97768
decimal171.csv,6380
decimal1438.csv,9957
decimal824.csv,118094
decimal2864.csv,5106
decimal830.csv,6409
decimal2870.csv,11728
decimal1389.csv,75877
decimal818.csv,5902
decimal2858.csv,4137
decimal2680.csv,8295
decimal2694.csv,40067
decimal1174.csv,6714
decimal1612.csv,5908
decimal3005.csv,17292
decimal3011.csv,13638
decimal1606.csv,22668
decimal1160.csv,88065
decimal2469.csv,83223
decimal429.csv,6528
decimal1148.csv,813
decimal2441.csv,30273
decimal401.csv,3603
decimal367.csv,4249
decimal2327.csv,2521
decimal3039.csv,43820
decimal373.csv,1477
decimal2333.csv,7598
decimal2455.csv,51466
decimal415.csv,117821
decimal398.csv,7300
decimal1809.csv,262
decimal37.csv,8443
decimal23.csv,4226
decimal2482.csv,5751
decimal1835.csv,3105
decimal1821.csv,130873
decimal2496.csv,7958
decimal549.csv,6522
decimal2509.csv,4316
decimal1000.csv,5852
decimal1766.csv,20003
decimal3171.csv,17575
decimal3165.csv,23643
decimal1772.csv,243246
decimal1014.csv,160499
decimal575.csv,9600
decimal2535.csv,69926
decimal2253.csv,28227
decimal213.csv,12594
decimal1982.csv,2494
decimal1996.csv,925
decimal3159.csv,189729
decimal2247.csv,3814
decimal207.csv,39042
decimal561.csv,73533
decimal2521.csv,3486
decimal1028.csv,2847
decimal4.csv,4723
decimal1969.csv,3323
decimal1941.csv,1613
decimal1799.csv,9620
decimal2290.csv,9137
decimal2284.csv,15717
decimal1955.csv,15302
decimal3373.csv,15600
decimal1564.csv,14686
decimal1202.csv,76031
decimal3415.csv,39034
decimal993.csv,17873
decimal3401.csv,56527
decimal987.csv,87134
decimal1216.csv,166605
decimal1570.csv,7271
decimal2079.csv,8946
decimal3367.csv,8167
decimal1558.csv,4084
decimal2051.csv,31011
decimal3429.csv,19938
decimal2737.csv,30097
decimal777.csv,197044
decimal2723.csv,669
decimal763.csv,11375
decimal2045.csv,29149
decimal788.csv,1775
decimal2910.csv,26811
decimal950.csv,10778
decimal2904.csv,87417
decimal944.csv,69710
decimal2092.csv,20540
decimal2938.csv,19976
decimal978.csv,25082
decimal3398.csv,4812
decimal2086.csv,96586
decimal979.csv,28681
decimal2939.csv,13984
decimal2087.csv,13194
decimal3399.csv,19950
decimal2093.csv,5424
decimal945.csv,58592
decimal2905.csv,3688
decimal951.csv,18210
decimal2911.csv,142800
decimal789.csv,74847
decimal762.csv,24343
decimal2722.csv,10585
decimal2044.csv,7049
decimal2050.csv,10409
decimal1559.csv,8933
decimal776.csv,57573
decimal2736.csv,77571
decimal3428.csv,100990
decimal1217.csv,174746
decimal986.csv,1207
decimal3400.csv,8623
decimal3366.csv,4503
decimal2078.csv,641
decimal1571.csv,2223
decimal1565.csv,5846
decimal3372.csv,102270
decimal992.csv,52582
decimal3414.csv,14246
decimal1203.csv,23657
decimal1954.csv,10912
decimal2285.csv,167954
decimal2291.csv,1287
decimal1798.csv,38713
decimal1940.csv,7137
decimal1968.csv,6524
decimal5.csv,25615
decimal206.csv,8743
decimal2246.csv,105610
decimal3158.csv,20495
decimal1997.csv,2081
decimal1029.csv,32659
decimal2520.csv,79965
decimal560.csv,14283
decimal2534.csv,31427
decimal574.csv,8960
decimal1983.csv,100310
decimal212.csv,153756
decimal2252.csv,28355
decimal1773.csv,15698
decimal3164.csv,192556
decimal1015.csv,5194
decimal1001.csv,38081
decimal2508.csv,6881
decimal548.csv,25723
decimal3170.csv,89901
decimal1767.csv,10715
decimal1820.csv,17537
decimal2497.csv,9029
decimal2483.csv,75397
decimal1834.csv,160337
decimal22.csv,990
decimal36.csv,9940
decimal1808.csv,12600
decimal399.csv,17344
decimal2332.csv,23910
decimal372.csv,1447
decimal414.csv,88083
decimal2454.csv,32647
decimal400.csv,5815
decimal2440.csv,2156
decimal1149.csv,7921
decimal3038.csv,11772
decimal2326.csv,33336
decimal366.csv,10345
decimal1607.csv,8554
decimal3010.csv,7962
decimal428.csv,4638
decimal2468.csv,13438
decimal1161.csv,80260
decimal1175.csv,35552
decimal3004.csv,19878
decimal1613.csv,8163
decimal2695.csv,26268
decimal2681.csv,8915
decimal2859.csv,7011
decimal819.csv,19585
decimal1388.csv,21017
decimal2871.csv,56729
decimal831.csv,193624
decimal2865.csv,6647
decimal825.csv,58217
decimal3548.csv,18244
decimal2656.csv,15788
decimal616.csv,4329
decimal1439.csv,10551
decimal170.csv,9410
decimal2130.csv,6564
decimal164.csv,4111
decimal2124.csv,49314
decimal2642.csv,135152
decimal602.csv,91768
